"variable","p_value","method"
"dist_to_dorsal_cm",0.0098572935976778,"Spearman"
"fl_cm",0.00720133114564488,"Spearman"
"gape_cm",0.0419635757312088,"Spearman"
"gi_cm",0.0123940611544562,"Spearman"
"host_body_mass_index",0.577113652816103,"Spearman"
"host_height",0.0139811810838896,"Spearman"
"host_height_vs_max_height_tl",0.696772823286614,"Spearman"
"mass_g",0.0271924936401443,"Spearman"
"method_gear",0.0147909310894813,"Kruskal-Wallis"
"month",0.550848166270186,"Spearman"
"ratio_dorsal_to_tl",0.278652670144814,"Spearman"
"ratio_gape_to_tl",0.689889427474894,"Spearman"
"ratio_gi_to_tl",0.17034599254638,"Spearman"
"swim_mode",0.210150402893378,"Kruskal-Wallis"
"swim_performance",0.583765385348189,"Kruskal-Wallis"
"tl_cm",0.0139811810838896,"Spearman"
