".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Shannon","benthic trawl","gillnet",13,18,147,0.242,0.403,"ns"
"Shannon","benthic trawl","midwater trawl",13,3,30,0.189,0.356,"ns"
"Shannon","benthic trawl","net",13,7,31,0.275,0.413,"ns"
"Shannon","benthic trawl","rod and reel",13,25,227,0.048,0.144,"ns"
"Shannon","benthic trawl","spear",13,11,95,0.186,0.356,"ns"
"Shannon","gillnet","midwater trawl",18,3,37,0.356,0.485,"ns"
"Shannon","gillnet","net",18,7,18,0.005,0.03,"*"
"Shannon","gillnet","rod and reel",18,25,279,0.19,0.356,"ns"
"Shannon","gillnet","spear",18,11,109,0.674,0.722,"ns"
"Shannon","midwater trawl","net",3,7,0,0.017,0.063,"ns"
"Shannon","midwater trawl","rod and reel",3,25,32,0.726,0.726,"ns"
"Shannon","midwater trawl","spear",3,11,13,0.659,0.722,"ns"
"Shannon","net","rod and reel",7,25,152,0.002,0.03,"*"
"Shannon","net","spear",7,11,68,0.006,0.03,"*"
"Shannon","rod and reel","spear",25,11,118,0.52,0.65,"ns"
