"variable","p_value","method"
"dist_to_dorsal_cm",0.654367955234226,"Spearman"
"fl_cm",0.444327752611185,"Spearman"
"gape_cm",0.493738409672684,"Spearman"
"gi_cm",0.747019277073383,"Spearman"
"host_body_mass_index",0.0835978454948361,"Spearman"
"host_height",0.668924790352833,"Spearman"
"host_height_vs_max_height_tl",0.333660804553747,"Spearman"
"mass_g",0.585619268818336,"Spearman"
"method_gear",0.0242429640207936,"Kruskal-Wallis"
"month",0.0177937978769554,"Spearman"
"ratio_dorsal_to_tl",0.798989290948652,"Spearman"
"ratio_gape_to_tl",0.0363767610500003,"Spearman"
"ratio_gi_to_tl",0.160922970835688,"Spearman"
"swim_mode",0.168206457336597,"Kruskal-Wallis"
"swim_performance",0.342029868779446,"Kruskal-Wallis"
"tl_cm",0.537053048577195,"Spearman"
