"variable","p_value","method"
"dist_to_dorsal_cm",0.315829079454435,"Spearman"
"fl_cm",0.487713463440291,"Spearman"
"gape_cm",0.180556346006336,"Spearman"
"gi_cm",0.785423963560553,"Spearman"
"host_body_mass_index",0.0781848767895432,"Spearman"
"host_height",0.530531744811717,"Spearman"
"host_height_vs_max_height_tl",0.49451367578506,"Spearman"
"mass_g",0.835081793644671,"Spearman"
"method_gear",0.00857841611034942,"Kruskal-Wallis"
"month",0.0149664643064316,"Spearman"
"ratio_dorsal_to_tl",0.00628239318905028,"Spearman"
"ratio_gape_to_tl",0.0102186317348354,"Spearman"
"ratio_gi_to_tl",0.517981566247066,"Spearman"
"swim_mode",0.199046034871885,"Kruskal-Wallis"
"swim_performance",0.0509789563761528,"Kruskal-Wallis"
"tl_cm",0.570269420206864,"Spearman"
