"variable","p_value","method"
"dist_to_dorsal_cm",0.0435602713603259,"Spearman"
"fl_cm",0.0792692008730653,"Spearman"
"gape_cm",0.223980978807517,"Spearman"
"gi_cm",0.157355838334513,"Spearman"
"host_body_mass_index",0.285758563153403,"Spearman"
"host_height",0.0969071821357444,"Spearman"
"host_height_vs_max_height_tl",0.279930056885374,"Spearman"
"mass_g",0.351091377429582,"Spearman"
"method_gear",0.884000607008504,"Kruskal-Wallis"
"month",0.822145813110778,"Spearman"
"ratio_dorsal_to_tl",0.429651005198966,"Spearman"
"ratio_gape_to_tl",0.940619236427675,"Spearman"
"ratio_gi_to_tl",0.931647738584039,"Spearman"
"swim_mode",0.541725155432979,"Kruskal-Wallis"
"swim_performance",0.498989894399197,"Kruskal-Wallis"
"tl_cm",0.0613731267137436,"Spearman"
