"variable","Skin","Gill","Midgut","Hindgut"
"host_height",0.423,0.165,0.409090909090909,0.997
"dist_to_dorsal_cm",0.423,0.165,0.522857142857143,0.61
"ratio_gape_to_tl",0.423,0.7665,0.5025,0.997
"gape_cm",0.423,0.936923076923077,0.348,0.997
"fl_cm",0.423,0.165,0.409090909090909,0.997
"tl_cm",0.423,0.165,0.409090909090909,0.15
"method_gear",0.423,0.936923076923077,0.045,0.61
"host_height_vs_max_height_tl",0.423,0.964,0.409090909090909,0.61
"gi_cm",0.423,0.751666666666667,0.348,0.792857142857143
"ratio_dorsal_to_tl",0.423,0.895909090909091,0.988,0.61
"swim_performance",0.522272727272727,0.964,0.06,0.997
"mass_g",0.575,0.33,0.409090909090909,0.15
"month",0.640384615384615,0.165,0.348,0.997
"ratio_gi_to_tl",0.819642857142857,0.59625,0.405,0.969375
"host_body_mass_index",0.978,0.497142857142857,0.522857142857143,0.997
