"variable","p_value","r2","f_statistic","method","p_adj_bh"
"method_gear",0.001,0.15661672915687,2.56266745747061,"Weighted UniFrac PERMANOVA",0.015
"swim_performance",0.014,0.13551724152799,2.16330275503906,"Weighted UniFrac PERMANOVA",0.105
"gi_cm",0.082,0.0287773838342783,2.01484404106691,"Weighted UniFrac PERMANOVA",0.357
"month",0.118,0.0237706867123803,1.77751283062785,"Weighted UniFrac PERMANOVA",0.357
"gape_cm",0.119,0.0252154984888885,1.70727263070634,"Weighted UniFrac PERMANOVA",0.357
"ratio_gi_to_tl",0.178,0.0210431219972433,1.46169083436228,"Weighted UniFrac PERMANOVA",0.421875
"mass_g",0.221,0.0175481796459545,1.26817491611322,"Weighted UniFrac PERMANOVA",0.421875
"host_height_vs_max_height_tl",0.225,0.0177207155577207,1.2808687147592,"Weighted UniFrac PERMANOVA",0.421875
"tl_cm",0.296,0.015356850071646,1.10734163454669,"Weighted UniFrac PERMANOVA",0.435
"host_height",0.314,0.015848233398776,1.12724111825309,"Weighted UniFrac PERMANOVA",0.435
"fl_cm",0.319,0.0149748471994438,1.06417516444203,"Weighted UniFrac PERMANOVA",0.435
"ratio_gape_to_tl",0.426,0.0137463215652156,0.919902498862234,"Weighted UniFrac PERMANOVA",0.5325
"dist_to_dorsal_cm",0.478,0.011265964126121,0.763420261731936,"Weighted UniFrac PERMANOVA",0.5475
"host_body_mass_index",0.511,0.0110668429929678,0.783348201057672,"Weighted UniFrac PERMANOVA",0.5475
"ratio_dorsal_to_tl",0.983,0.00374496351941772,0.251855746383349,"Weighted UniFrac PERMANOVA",0.983
