"variable","p_value","r2","f_statistic","method","p_adj_bh"
"month",0.013,0.0858007515793225,3.66028447012437,"Weighted UniFrac PERMANOVA",0.169
"mass_g",0.108,0.0470419624535132,1.92520180679783,"Weighted UniFrac PERMANOVA",0.702
"tl_cm",0.218,0.0346416849770839,1.39950699453415,"Weighted UniFrac PERMANOVA",0.944666666666667
"host_height",0.333,0.0287879426596746,1.09672637438717,"Weighted UniFrac PERMANOVA",0.947916666666667
"gi_cm",0.504,0.0209116697425666,0.811615689473689,"Weighted UniFrac PERMANOVA",0.947916666666667
"ratio_dorsal_to_tl",0.58,0.0200147015100412,0.71482149163957,"Weighted UniFrac PERMANOVA",0.947916666666667
"fl_cm",0.637,0.0178766809766032,0.691678798326891,"Weighted UniFrac PERMANOVA",0.947916666666667
"ratio_gi_to_tl",0.643,0.0168842689276025,0.652621251975111,"Weighted UniFrac PERMANOVA",0.947916666666667
"host_body_mass_index",0.691,0.0169344662819865,0.637368752074703,"Weighted UniFrac PERMANOVA",0.947916666666667
"gape_cm",0.75,0.0157202418005324,0.558996015548591,"Weighted UniFrac PERMANOVA",0.947916666666667
"host_height_vs_max_height_tl",0.814,0.0130230213667482,0.51459947323848,"Weighted UniFrac PERMANOVA",0.947916666666667
"ratio_gape_to_tl",0.875,0.0119166064768339,0.422111361675677,"Weighted UniFrac PERMANOVA",0.947916666666667
"dist_to_dorsal_cm",0.963,0.00517838824942767,0.182187023873594,"Weighted UniFrac PERMANOVA",0.963
