"variable","p_value","r2","f_statistic","method","p_adj_bh"
"gi_cm",0.015,0.0944789805936441,3.13009787411394,"Weighted UniFrac PERMANOVA",0.195
"gape_cm",0.094,0.0639012914975807,1.84311211495515,"Weighted UniFrac PERMANOVA",0.407333333333333
"month",0.094,0.0578845957588821,1.96611482621524,"Weighted UniFrac PERMANOVA",0.407333333333333
"ratio_dorsal_to_tl",0.177,0.0541731588939354,1.54645145027369,"Weighted UniFrac PERMANOVA",0.5044
"fl_cm",0.194,0.0457037244862355,1.43677783280554,"Weighted UniFrac PERMANOVA",0.5044
"host_height_vs_max_height_tl",0.298,0.0344482417519005,1.14167234086023,"Weighted UniFrac PERMANOVA",0.570142857142857
"host_height",0.307,0.0356478170178656,1.10896675447851,"Weighted UniFrac PERMANOVA",0.570142857142857
"ratio_gi_to_tl",0.378,0.033100084855173,1.02699620726148,"Weighted UniFrac PERMANOVA",0.61425
"tl_cm",0.536,0.0238064880635134,0.780385864807913,"Weighted UniFrac PERMANOVA",0.735090909090909
"dist_to_dorsal_cm",0.599,0.0253222498732832,0.701463377500675,"Weighted UniFrac PERMANOVA",0.735090909090909
"mass_g",0.622,0.0210836944612273,0.667671510424299,"Weighted UniFrac PERMANOVA",0.735090909090909
"host_body_mass_index",0.698,0.0216413211975668,0.641480806913937,"Weighted UniFrac PERMANOVA",0.756166666666667
"ratio_gape_to_tl",0.953,0.0133851999177192,0.366303442588008,"Weighted UniFrac PERMANOVA",0.953
