"variable","p_value","r2","f_statistic","method","p_adj_bh"
"host_height_vs_max_height_tl",0.033,0.0772436380168814,2.59500002078244,"Weighted UniFrac PERMANOVA",0.429
"ratio_dorsal_to_tl",0.095,0.0678701139777139,1.96592031312089,"Weighted UniFrac PERMANOVA",0.6175
"month",0.231,0.0423193903788616,1.36987330490455,"Weighted UniFrac PERMANOVA",0.876
"host_body_mass_index",0.388,0.033132468971197,0.993767573456855,"Weighted UniFrac PERMANOVA",0.876
"host_height",0.394,0.0318687697967621,0.954616786726409,"Weighted UniFrac PERMANOVA",0.876
"ratio_gape_to_tl",0.492,0.0290458630751583,0.807698606149487,"Weighted UniFrac PERMANOVA",0.876
"gape_cm",0.547,0.0276685328138302,0.768308350788342,"Weighted UniFrac PERMANOVA",0.876
"gi_cm",0.699,0.0189585433110666,0.579747466790629,"Weighted UniFrac PERMANOVA",0.876
"tl_cm",0.773,0.0163433132597359,0.515060506253228,"Weighted UniFrac PERMANOVA",0.876
"dist_to_dorsal_cm",0.782,0.017660398818579,0.485403181881467,"Weighted UniFrac PERMANOVA",0.876
"mass_g",0.785,0.0143391121913326,0.45097911810172,"Weighted UniFrac PERMANOVA",0.876
"fl_cm",0.856,0.0141880230573741,0.431766606286622,"Weighted UniFrac PERMANOVA",0.876
"ratio_gi_to_tl",0.876,0.0130642746947947,0.397116276971976,"Weighted UniFrac PERMANOVA",0.876
