"variable","p_value","r2","f_statistic","method","p_adj_bh"
"month",0.008,0.0273372120077955,3.11971483881794,"Weighted UniFrac PERMANOVA",0.12
"method_gear",0.026,0.0707013890438932,1.62812007647645,"Weighted UniFrac PERMANOVA",0.165
"swim_performance",0.033,0.0722997729526977,1.66779644553093,"Weighted UniFrac PERMANOVA",0.165
"dist_to_dorsal_cm",0.279,0.0114777159664168,1.20754228790537,"Weighted UniFrac PERMANOVA",0.77625
"mass_g",0.324,0.00845483705836474,0.946489326511623,"Weighted UniFrac PERMANOVA",0.77625
"host_height_vs_max_height_tl",0.349,0.00996015365669696,1.11669955505003,"Weighted UniFrac PERMANOVA",0.77625
"host_body_mass_index",0.391,0.00874818893136441,0.961968071958151,"Weighted UniFrac PERMANOVA",0.77625
"tl_cm",0.414,0.00830639969194848,0.929733100546253,"Weighted UniFrac PERMANOVA",0.77625
"gape_cm",0.51,0.00771352358370859,0.808442392163718,"Weighted UniFrac PERMANOVA",0.8025
"fl_cm",0.602,0.00643075155383838,0.711961115975051,"Weighted UniFrac PERMANOVA",0.8025
"ratio_dorsal_to_tl",0.608,0.00654614316136979,0.685284861592763,"Weighted UniFrac PERMANOVA",0.8025
"host_height",0.642,0.00601947207108488,0.660095884489173,"Weighted UniFrac PERMANOVA",0.8025
"ratio_gi_to_tl",0.708,0.0053023881975168,0.565049259461163,"Weighted UniFrac PERMANOVA",0.816923076923077
"ratio_gape_to_tl",0.861,0.00417612463094995,0.436138329639704,"Weighted UniFrac PERMANOVA",0.902
"gi_cm",0.902,0.0036695544254245,0.390405382895511,"Weighted UniFrac PERMANOVA",0.902
