".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Shannon","benthic trawl","gillnet",12,15,102,0.581,0.67,"ns"
"Shannon","benthic trawl","midwater trawl",12,2,10,0.791,0.848,"ns"
"Shannon","benthic trawl","net",12,4,40,0.058,0.196,"ns"
"Shannon","benthic trawl","rod and reel",12,22,187,0.048,0.196,"ns"
"Shannon","benthic trawl","spear",12,8,57,0.521,0.651,"ns"
"Shannon","gillnet","midwater trawl",15,2,8,0.368,0.6,"ns"
"Shannon","gillnet","net",15,4,52,0.027,0.196,"ns"
"Shannon","gillnet","rod and reel",15,22,244,0.014,0.196,"ns"
"Shannon","gillnet","spear",15,8,60,1,1,"ns"
"Shannon","midwater trawl","net",2,4,8,0.133,0.249,"ns"
"Shannon","midwater trawl","rod and reel",2,22,40,0.065,0.196,"ns"
"Shannon","midwater trawl","spear",2,8,12,0.4,0.6,"ns"
"Shannon","net","rod and reel",4,22,33,0.471,0.642,"ns"
"Shannon","net","spear",4,8,6,0.109,0.234,"ns"
"Shannon","rod and reel","spear",22,8,50,0.078,0.196,"ns"
