"variable","p_value","r2","f_statistic","method","p_adj_bh"
"ratio_gape_to_tl",0.062,0.0285732667346149,2.50016557015912,"Weighted UniFrac PERMANOVA",0.348
"fl_cm",0.064,0.0263685470510606,2.46452369053895,"Weighted UniFrac PERMANOVA",0.348
"gi_cm",0.09,0.0231825721518067,2.08848275143186,"Weighted UniFrac PERMANOVA",0.348
"swim_performance",0.112,0.0780336510767957,1.54041679640086,"Weighted UniFrac PERMANOVA",0.348
"dist_to_dorsal_cm",0.116,0.023703616451872,2.06372514777404,"Weighted UniFrac PERMANOVA",0.348
"ratio_dorsal_to_tl",0.147,0.0213170401704202,1.85141510464353,"Weighted UniFrac PERMANOVA",0.3675
"method_gear",0.234,0.0638737723151213,1.24182254674156,"Weighted UniFrac PERMANOVA",0.501428571428571
"tl_cm",0.336,0.0108294614534978,1.018166105771,"Weighted UniFrac PERMANOVA",0.571666666666667
"ratio_gi_to_tl",0.343,0.0109314369635115,0.972598350346637,"Weighted UniFrac PERMANOVA",0.571666666666667
"mass_g",0.415,0.00894604850881181,0.830465850595021,"Weighted UniFrac PERMANOVA",0.608571428571429
"host_body_mass_index",0.447,0.00889006758685794,0.807282882201701,"Weighted UniFrac PERMANOVA",0.608571428571429
"host_height_vs_max_height_tl",0.522,0.00736632253092365,0.690151876694957,"Weighted UniFrac PERMANOVA",0.608571428571429
"host_height",0.556,0.00649508364225003,0.594916644812979,"Weighted UniFrac PERMANOVA",0.608571428571429
"month",0.568,0.00667255241493347,0.638150572562724,"Weighted UniFrac PERMANOVA",0.608571428571429
"gape_cm",0.746,0.00547628023546557,0.468046976420816,"Weighted UniFrac PERMANOVA",0.746
