"variable","p_value","r2","f_statistic","method","p_adj_bh"
"method_gear",0.001,0.114727268215504,2.43639340173027,"Weighted UniFrac PERMANOVA",0.015
"swim_performance",0.006,0.0976776629614732,2.03512646013249,"Weighted UniFrac PERMANOVA",0.045
"host_height_vs_max_height_tl",0.088,0.0206412970465502,2.0233286440331,"Weighted UniFrac PERMANOVA",0.339
"dist_to_dorsal_cm",0.104,0.0210971579364686,1.91811380625642,"Weighted UniFrac PERMANOVA",0.339
"tl_cm",0.113,0.0184925666549081,1.80873454296805,"Weighted UniFrac PERMANOVA",0.339
"ratio_gape_to_tl",0.15,0.0174142344444716,1.57733494610694,"Weighted UniFrac PERMANOVA",0.348333333333333
"gi_cm",0.163,0.0173414931889369,1.60592501795405,"Weighted UniFrac PERMANOVA",0.348333333333333
"ratio_gi_to_tl",0.191,0.0156339071617433,1.44528093975338,"Weighted UniFrac PERMANOVA",0.348333333333333
"mass_g",0.209,0.0136990544382434,1.33337520559947,"Weighted UniFrac PERMANOVA",0.348333333333333
"host_height",0.381,0.0104511988732307,0.99278852439116,"Weighted UniFrac PERMANOVA",0.5715
"fl_cm",0.501,0.00853267942266054,0.817580699160845,"Weighted UniFrac PERMANOVA",0.6575
"gape_cm",0.526,0.00878557112332171,0.788846295207547,"Weighted UniFrac PERMANOVA",0.6575
"host_body_mass_index",0.629,0.00738822853355004,0.699662750450443,"Weighted UniFrac PERMANOVA",0.694285714285714
"month",0.648,0.00668903309274073,0.659939600918344,"Weighted UniFrac PERMANOVA",0.694285714285714
"ratio_dorsal_to_tl",0.88,0.00392912746518341,0.351071750056721,"Weighted UniFrac PERMANOVA",0.88
