"variable","p_value","method"
"dist_to_dorsal_cm",0.15679815848775,"Spearman"
"fl_cm",0.35196784154586,"Spearman"
"gape_cm",0.439235271083784,"Spearman"
"gi_cm",0.237333459517484,"Spearman"
"host_body_mass_index",0.418764450291567,"Spearman"
"host_height",0.395778779185521,"Spearman"
"host_height_vs_max_height_tl",0.0668976356648193,"Spearman"
"mass_g",0.627165776179057,"Spearman"
"method_gear",0.807696198799856,"Kruskal-Wallis"
"month",0.84211154872535,"Spearman"
"ratio_dorsal_to_tl",0.563786035411088,"Spearman"
"ratio_gape_to_tl",0.726698050573815,"Spearman"
"ratio_gi_to_tl",0.605513122965362,"Spearman"
"swim_mode",0.287653344314894,"Kruskal-Wallis"
"swim_performance",0.231661632806814,"Kruskal-Wallis"
"tl_cm",0.278171096860813,"Spearman"
