"variable","p_value","r2","f_statistic","method","p_adj_bh"
"swim_performance",0.142,0.0647527493706736,1.3154834052866,"Weighted UniFrac PERMANOVA",0.774
"host_height_vs_max_height_tl",0.203,0.0140114645627694,1.37842582721912,"Weighted UniFrac PERMANOVA",0.774
"ratio_gi_to_tl",0.261,0.0133022445232661,1.22682376127667,"Weighted UniFrac PERMANOVA",0.774
"host_body_mass_index",0.334,0.0112138827117317,1.06605964269973,"Weighted UniFrac PERMANOVA",0.774
"month",0.368,0.0102691223918456,1.03756714316751,"Weighted UniFrac PERMANOVA",0.774
"host_height",0.417,0.010045987832916,0.964053716028521,"Weighted UniFrac PERMANOVA",0.774
"ratio_gape_to_tl",0.471,0.00960005581562098,0.862686809109115,"Weighted UniFrac PERMANOVA",0.774
"method_gear",0.488,0.048014175828227,0.958280383565571,"Weighted UniFrac PERMANOVA",0.774
"tl_cm",0.509,0.00830714206445849,0.81254268779341,"Weighted UniFrac PERMANOVA",0.774
"ratio_dorsal_to_tl",0.516,0.0092204372100774,0.828255792222964,"Weighted UniFrac PERMANOVA",0.774
"gi_cm",0.584,0.00806513573045549,0.739894702674766,"Weighted UniFrac PERMANOVA",0.784285714285714
"dist_to_dorsal_cm",0.672,0.00695844104598457,0.62364082097928,"Weighted UniFrac PERMANOVA",0.784285714285714
"fl_cm",0.71,0.00620926582105725,0.593565861215028,"Weighted UniFrac PERMANOVA",0.784285714285714
"gape_cm",0.732,0.00627725357492071,0.562204669439016,"Weighted UniFrac PERMANOVA",0.784285714285714
"mass_g",0.927,0.00319646721677472,0.307844868841477,"Weighted UniFrac PERMANOVA",0.927
