variable,Skin,Gill,Midgut,Hindgut
dist_to_dorsal_cm,0.044,0.010,0.316,0.654
fl_cm,0.079,0.007,0.488,0.444
gape_cm,0.224,0.042,0.181,0.494
gi_cm,0.157,0.012,0.785,0.747
host_body_mass_index,0.286,0.577,0.078,0.084
host_height,0.097,0.014,0.531,0.669
host_height_vs_max_height_tl,0.280,0.697,0.495,0.334
mass_g,0.351,0.027,0.835,0.586
method_gear,0.884,0.015,0.009,0.024
month,0.822,0.551,0.015,0.018
ratio_dorsal_to_tl,0.430,0.279,0.006,0.799
ratio_gape_to_tl,0.941,0.690,0.010,0.036
ratio_gi_to_tl,0.932,0.170,0.518,0.161
swim_mode,0.542,0.210,0.199,0.168
swim_performance,0.499,0.584,0.051,0.342
tl_cm,0.061,0.014,0.570,0.537
