"variable","Skin","Gill","Midgut","Hindgut"
"host_height",0.3885,0.153,0.3975,0.996
"ratio_gape_to_tl",0.3885,0.759,0.5025,0.996
"fl_cm",0.3885,0.153,0.426818181818182,0.996
"dist_to_dorsal_cm",0.3885,0.153,0.530357142857143,0.59
"gape_cm",0.3885,0.887307692307692,0.36,0.996
"method_gear",0.3885,0.887307692307692,0.045,0.59
"tl_cm",0.3885,0.153,0.3975,0.1725
"gi_cm",0.3885,0.713333333333333,0.36,0.747857142857143
"host_height_vs_max_height_tl",0.3885,0.976,0.395625,0.59
"ratio_dorsal_to_tl",0.3885,0.846818181818182,0.984,0.59
"swim_performance",0.497727272727273,0.976,0.1125,0.996
"mass_g",0.55125,0.375,0.395625,0.1725
"month",0.617307692307692,0.153,0.36,0.996
"ratio_gi_to_tl",0.788571428571429,0.63,0.385,0.995625
"host_body_mass_index",0.983,0.503571428571429,0.530357142857143,0.996
