"variable","p_value","method"
"dist_to_dorsal_cm",0.000627976924490629,"Spearman"
"fl_cm",0.0015608854175995,"Spearman"
"gape_cm",0.0373582678886651,"Spearman"
"gi_cm",0.00326872160873259,"Spearman"
"host_body_mass_index",0.199521307477444,"Spearman"
"host_height",0.00323607261855886,"Spearman"
"host_height_vs_max_height_tl",0.389657215020143,"Spearman"
"mass_g",0.00271666474817456,"Spearman"
"method_gear",0.0342598191569683,"Kruskal-Wallis"
"month",0.0953280442273244,"Spearman"
"ratio_dorsal_to_tl",0.208404326596631,"Spearman"
"ratio_gape_to_tl",0.36201423537521,"Spearman"
"ratio_gi_to_tl",0.18398746120489,"Spearman"
"swim_mode",0.361341097664488,"Kruskal-Wallis"
"swim_performance",0.299089529919183,"Kruskal-Wallis"
"tl_cm",0.00325075519811318,"Spearman"
