"variable","p_value","r2","f_statistic","method","p_adj_bh"
"month",0.032,0.0340914982115882,2.54122193426148,"Weighted UniFrac PERMANOVA",0.171
"dist_to_dorsal_cm",0.034,0.0389338317987626,2.79526476219908,"Weighted UniFrac PERMANOVA",0.171
"tl_cm",0.047,0.0328288315957735,2.44390646879561,"Weighted UniFrac PERMANOVA",0.171
"fl_cm",0.051,0.0342734862363999,2.55526898542299,"Weighted UniFrac PERMANOVA",0.171
"host_height",0.057,0.0328288315957735,2.44390646879561,"Weighted UniFrac PERMANOVA",0.171
"mass_g",0.161,0.0223519073581752,1.64613150877206,"Weighted UniFrac PERMANOVA",0.4025
"host_body_mass_index",0.192,0.0187380180784926,1.37490020657846,"Weighted UniFrac PERMANOVA",0.411428571428571
"ratio_gi_to_tl",0.341,0.0151623292636328,1.07770354444374,"Weighted UniFrac PERMANOVA",0.639375
"gi_cm",0.455,0.0131596794569765,0.933461617662176,"Weighted UniFrac PERMANOVA",0.738
"ratio_gape_to_tl",0.492,0.0119287525674402,0.845093592077031,"Weighted UniFrac PERMANOVA",0.738
"ratio_dorsal_to_tl",0.61,0.00948994318389587,0.661079688371488,"Weighted UniFrac PERMANOVA",0.831818181818182
"gape_cm",0.759,0.00767363691842957,0.541308388322961,"Weighted UniFrac PERMANOVA",0.931153846153846
"method_gear",0.807,0.0515116876912167,0.73860578302253,"Weighted UniFrac PERMANOVA",0.931153846153846
"host_height_vs_max_height_tl",0.96,0.00280424258720046,0.202473250389946,"Weighted UniFrac PERMANOVA",0.975
"swim_performance",0.975,0.0349714990672339,0.49284802143633,"Weighted UniFrac PERMANOVA",0.975
