"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"kelp bass","gill",longjaw mudsucker,"LC","61","1","3","fish_ squid_ invertebrates","11.8","24","1.380211242","116","Paralabrax","spear","35.9","5.2","56","not applicable","neritic","1.380315501","kelp bass","36","50","Paralabrax clathratus","FMP_1","172714","644","644","34","7","72.1","72","spear","7","296","Serranidae","Paralabrax","Paralabrax clathratus","Perciformes","0.327777778","0.144444444","1.555555556","gill tissue","fish gill","rocky reef","Subcarangiform","generalist","36","3","Paralabrax clathratus"
"sargo","gill",Pacific chub mackerel,"LC","40","0","3","crustaceans_ mollusks_ bryozoans","7.3","103","2.012837225","116","Anisotremus virginicus","spear","23.5","2","32","not applicable","neritic","1.652456446","sargo","25.5","44","Anisotremus davidsonii","FMP_10","314002","274","274","15","not applicable","60","58","spear","6","298","Haemulidae","Anisotremus","Anisotremus davidsonii","Perciformes","0.28627451","0.078431373","1.254901961","gill tissue","fish gill","rocky reef","Embiotociform","manoeuvrer","25.5","2","Anisotremus davidsonii"
"longjaw mudsucker","gill",vermilion rockfish,"LC","5","0","1","crustaceans_ worms","4.2","30","1.477121255","116","Gillichthys mirabilis","hook and line","12","2","13.4","mud, sandy bottom,","intertidal","0.891435185","longjaw mudsucker","12","57","Gillichthys mirabilis","FMP_100","8222","15.404","15.404","2","not applicable","21","21","rod and reel","8","334","Gobiidae","Gillichthys","Gillichthys mirabilis","Gobiiformes","0.35","0.166666667","1.116666667","gill tissue","fish gill","sandy mud bottom","Cottiform","accelerator","12","2","Gillichthys mirabilis"
"diamond turbot","gill",bigfin eelpout,"LC","50","1","1","polychaetes_ bivalves","1","5","0.698970004","116","not applicable","hook and line","14.7","0.7","23","not applicable","neritic","1.389254855","diamond turbot","14.7","32","Hypsopsetta guttulata","FMP_101","320378","44.13","44.13","9","not applicable","45.7","46","rod and reel","8","284","Pleuronectidae","Hypsopsetta","Hypsopsetta guttulata","Pleuronectiformes","0.068027211","0.047619048","1.56462585","gill tissue","fish gill","sandy mud bottom","Plueronectiform","flow refuging","14.7","2","Hypsopsetta guttulata"
"Black croaker","gill",longjaw mudsucker,"DD","45","0","2","crabs","5","155","2.190331698","116","Cheilotrema saturnum","hook and line","18.8","1.6","21","not applicable","neritic","1.27625","Black croaker","20","44","Cheilotrema saturnum","FMP_102","320392","102.1","102.1","20","0.7","45","45","rod and reel","8","309","Sciaenidae","Cheilotrema","Cheilotrema saturnum","Perciformes","0.25","0.08","1.05","gill tissue","fish gill","rocky reef","Subcarangiform","generalist","20","2","Cheilotrema saturnum"
"Pacific chub mackerel","gill",Pacific chub mackerel,"LC","300","0","1","copepods_ crustaceans_ squid","6.1","245","2.389166084","0","Scomber japonicus","hook and line","17.5","2.7","15.2","not applicable","neritic","0.754893424","Pacific chub mackerel","19.1","30","Scomber japonicus","FMP_103","13676","52.6","52.6","18","2.9","63.5","64","rod and reel","8","493","Scombridae","Scomber","Scomber japonicus","Scombriformes","0.319371728","0.141361257","0.795811518","gill tissue","fish gill","sandy bottom","Carangiform","crusier sprinter","19.1","2","Scomber japonicus"
"Pacific 'california' barracuda","gill",vermilion rockfish,"LC","18","0","2","fish","18.9","787","2.895974732","116","Sphyraena argentea","HSW gillnet survey","42.2","4.3","28","not applicable","neritic","0.321941068","Pacific 'california' barracuda","46.8","32","Sphyraena argentea","FMP_11","55125","330","330","12","12","122","145","gillnet","6","356","Sphyraenidae","Sphyraena","Sphyraena argentea","Carangiformes","0.403846154","0.091880342","0.598290598","gill tissue","fish gill","sandy bottom","Esociform","accelerator","46.8","3","Sphyraena argentea"
"barred sand bass","gill",bigfin eelpout,"LC","183","1","2","benthic invertebrates_ fish","7.9","787","2.895974732","116","Paralabrax nebulifer","HSW gillnet survey","28.8","4.1","39","not applicable","neritic","1.214005165","barred sand bass","28.8","43","Paralabrax nebulifer","FMP_12","30873","290","290","31","not applicable","65","67","gillnet","6","300","Serranidae","Paralabrax","Paralabrax nebulifer","Perciformes","0.274305556","0.142361111","1.354166667","gill tissue","fish gill","sandy bottom","Subcarangiform","generalist","28.8","3","Paralabrax nebulifer"
"queenfish","gill",longjaw mudsucker,"LC","21","1","2","shrimp_ worms_ fish","6.5","787","2.895974732","116","Seriphus politus","HSW gillnet survey","19.8","3.5","18.5","not applicable","neritic","0.946325394","queenfish","20.2","67","Seriphus politus","FMP_13","515231","78","78","not applicable","not applicable","30.5","30","gillnet","6","283","Sciaenidae","Seriphus","Seriphus politus","Perciformes","0.321782178","0.173267327","0.915841584","gill tissue","fish gill","sandy bottom","Subcarangiform","generalist","20.2","3","Seriphus politus"
"grey smoothound shark","gill",Pacific chub mackerel,"LC","200","0","3","fish_ crabs_ ghost shrimp_ innkeeper_ worms_","22.3","315","2.498310554","465","Mustelus stevensi","HSW gillnet survey","71.2","2.7","49.5","not applicable","neritic","0.290903749","grey smoothound shark","71.2","61","Mustelus californicus","FMP_14","320419","1050","1050","9","not applicable","163","116","gillnet","6","331","Triakidae","Mustelus","Mustelus californicus","Carcharhiniformes","0.313202247","0.037921348","0.695224719","gill tissue","fish gill","sandy mud bottom","Carcharhiniform","crusier sprinter","71.2","3","Mustelus californicus"
