"variable","p_value","method"
"dist_to_dorsal_cm",0.305068808542946,"Spearman"
"fl_cm",0.406428228138022,"Spearman"
"gape_cm",0.182124403864321,"Spearman"
"gi_cm",0.541388600284457,"Spearman"
"host_body_mass_index",0.00163793574915614,"Spearman"
"host_height",0.199934240688355,"Spearman"
"host_height_vs_max_height_tl",0.395646659073046,"Spearman"
"mass_g",0.183919342942984,"Spearman"
"method_gear",0.0312824894439608,"Kruskal-Wallis"
"month",0.0140533482910098,"Spearman"
"ratio_dorsal_to_tl",0.979816779266265,"Spearman"
"ratio_gape_to_tl",0.194833170289475,"Spearman"
"ratio_gi_to_tl",0.161199252690156,"Spearman"
"swim_mode",0.0419048809991323,"Kruskal-Wallis"
"swim_performance",0.443453418421434,"Kruskal-Wallis"
"tl_cm",0.401146008586997,"Spearman"
