"variable","p_value","r2","f_statistic","method","p_adj_bh"
"mass_g",0.008,0.0798705279484945,5.03460736963914,"Weighted UniFrac PERMANOVA",0.12
"tl_cm",0.016,0.0461057372730817,2.85171911123085,"Weighted UniFrac PERMANOVA",0.12
"host_height_vs_max_height_tl",0.151,0.0242883924487178,1.46868720571107,"Weighted UniFrac PERMANOVA",0.64
"method_gear",0.209,0.0961333787063094,1.21248034990312,"Weighted UniFrac PERMANOVA",0.64
"dist_to_dorsal_cm",0.233,0.0237715172758563,1.33926992841238,"Weighted UniFrac PERMANOVA",0.64
"ratio_dorsal_to_tl",0.256,0.0227270655796758,1.27905783825233,"Weighted UniFrac PERMANOVA",0.64
"gi_cm",0.339,0.0191055986459045,1.12970847823448,"Weighted UniFrac PERMANOVA",0.726428571428571
"ratio_gi_to_tl",0.521,0.015523169544935,0.914540399279944,"Weighted UniFrac PERMANOVA",0.976875
"fl_cm",0.719,0.0117510992253157,0.677777283959468,"Weighted UniFrac PERMANOVA",0.998
"host_height",0.823,0.00812458950036508,0.466894931176419,"Weighted UniFrac PERMANOVA",0.998
"swim_performance",0.838,0.0606967988501466,0.736656178797883,"Weighted UniFrac PERMANOVA",0.998
"gape_cm",0.94,0.00860050107498477,0.485806237264979,"Weighted UniFrac PERMANOVA",0.998
"month",0.974,0.00346341299688366,0.212002444832708,"Weighted UniFrac PERMANOVA",0.998
"host_body_mass_index",0.991,-0.00301746227384168,-0.168469536863357,"Weighted UniFrac PERMANOVA",0.998
"ratio_gape_to_tl",0.998,-0.00926652888390066,-0.514161128549751,"Weighted UniFrac PERMANOVA",0.998
