"variable","p_value","method"
"dist_to_dorsal_cm",0.767664566694683,"Spearman"
"fl_cm",0.462374066969146,"Spearman"
"gape_cm",0.99557403494786,"Spearman"
"gi_cm",0.516835589299247,"Spearman"
"host_body_mass_index",0.155410686568584,"Spearman"
"host_height",0.420453404389995,"Spearman"
"host_height_vs_max_height_tl",0.618903946297543,"Spearman"
"mass_g",0.962927720746427,"Spearman"
"method_gear",0.00198358499002349,"Kruskal-Wallis"
"month",0.025631486175395,"Spearman"
"ratio_dorsal_to_tl",0.0524305158422929,"Spearman"
"ratio_gape_to_tl",0.22436787298576,"Spearman"
"ratio_gi_to_tl",0.506408979154703,"Spearman"
"swim_mode",0.0708121318165713,"Kruskal-Wallis"
"swim_performance",0.0699473070564238,"Kruskal-Wallis"
"tl_cm",0.523896350150116,"Spearman"
