"variable","p_value","r2","f_statistic","method","p_adj_bh"
"method_gear",0.003,0.15661672915687,2.56266745747061,"Weighted UniFrac PERMANOVA",0.045
"swim_performance",0.015,0.13551724152799,2.16330275503906,"Weighted UniFrac PERMANOVA",0.1125
"gi_cm",0.09,0.0287773838342783,2.01484404106691,"Weighted UniFrac PERMANOVA",0.36
"gape_cm",0.118,0.0252154984888885,1.70727263070634,"Weighted UniFrac PERMANOVA",0.36
"month",0.12,0.0237706867123803,1.77751283062785,"Weighted UniFrac PERMANOVA",0.36
"ratio_gi_to_tl",0.154,0.0210431219972433,1.46169083436228,"Weighted UniFrac PERMANOVA",0.385
"mass_g",0.209,0.0175481796459545,1.26817491611322,"Weighted UniFrac PERMANOVA",0.395625
"host_height_vs_max_height_tl",0.211,0.0177207155577207,1.2808687147592,"Weighted UniFrac PERMANOVA",0.395625
"tl_cm",0.251,0.015356850071646,1.10734163454669,"Weighted UniFrac PERMANOVA",0.3975
"host_height",0.265,0.015848233398776,1.12724111825309,"Weighted UniFrac PERMANOVA",0.3975
"fl_cm",0.313,0.0149748471994438,1.06417516444203,"Weighted UniFrac PERMANOVA",0.426818181818182
"ratio_gape_to_tl",0.402,0.0137463215652156,0.919902498862234,"Weighted UniFrac PERMANOVA",0.5025
"dist_to_dorsal_cm",0.479,0.011265964126121,0.763420261731936,"Weighted UniFrac PERMANOVA",0.530357142857143
"host_body_mass_index",0.495,0.0110668429929678,0.783348201057672,"Weighted UniFrac PERMANOVA",0.530357142857143
"ratio_dorsal_to_tl",0.984,0.00374496351941772,0.251855746383349,"Weighted UniFrac PERMANOVA",0.984
