"variable","p_value","method"
"dist_to_dorsal_cm",0.819299778436238,"Spearman"
"fl_cm",0.454282830553267,"Spearman"
"gape_cm",0.394742919180163,"Spearman"
"gi_cm",0.012778255264315,"Spearman"
"host_body_mass_index",0.495746379346963,"Spearman"
"host_height",0.442189389803966,"Spearman"
"host_height_vs_max_height_tl",0.501141755124431,"Spearman"
"mass_g",0.369968434534917,"Spearman"
"month",0.897320775511478,"Spearman"
"ratio_dorsal_to_tl",0.416903792778798,"Spearman"
"ratio_gape_to_tl",0.386374347483772,"Spearman"
"ratio_gi_to_tl",0.331931585657238,"Spearman"
"swim_mode",0.904280391199997,"Kruskal-Wallis"
"swim_performance",0.656803749153817,"Kruskal-Wallis"
"tl_cm",0.189840561485684,"Spearman"
