"variable","p_value","r2","f_statistic","method","p_adj_bh"
"host_height",0.063,0.0389156772190475,2.22702857211774,"Weighted UniFrac PERMANOVA",0.3885
"ratio_gape_to_tl",0.131,0.03254876418799,1.68219146263588,"Weighted UniFrac PERMANOVA",0.3885
"fl_cm",0.135,0.0296906374686732,1.68295300842705,"Weighted UniFrac PERMANOVA",0.3885
"dist_to_dorsal_cm",0.149,0.0334164933254982,1.69401625585653,"Weighted UniFrac PERMANOVA",0.3885
"gape_cm",0.151,0.0321349617562213,1.6600951830294,"Weighted UniFrac PERMANOVA",0.3885
"method_gear",0.188,0.103839096216127,1.22823302739884,"Weighted UniFrac PERMANOVA",0.3885
"tl_cm",0.198,0.0245186423670533,1.43269023440211,"Weighted UniFrac PERMANOVA",0.3885
"gi_cm",0.23,0.0244746626408901,1.32970110594848,"Weighted UniFrac PERMANOVA",0.3885
"host_height_vs_max_height_tl",0.254,0.0227067444620931,1.32435625336115,"Weighted UniFrac PERMANOVA",0.3885
"ratio_dorsal_to_tl",0.259,0.024874202222418,1.24992684192782,"Weighted UniFrac PERMANOVA",0.3885
"swim_performance",0.365,0.0911819250111658,1.06350042073077,"Weighted UniFrac PERMANOVA",0.497727272727273
"mass_g",0.441,0.0154404429893962,0.878224990300793,"Weighted UniFrac PERMANOVA",0.55125
"month",0.535,0.0135795715921358,0.784691353159704,"Weighted UniFrac PERMANOVA",0.617307692307692
"ratio_gi_to_tl",0.736,0.0106209120228565,0.568951116970038,"Weighted UniFrac PERMANOVA",0.788571428571429
"host_body_mass_index",0.983,0.00276542572032482,0.149747103388796,"Weighted UniFrac PERMANOVA",0.983
