"variable","Skin","Gill","Midgut","Hindgut"
"month",0.882375,0.169,0.876,0.407333333333333
"ratio_gi_to_tl",0.882375,0.947916666666667,0.876,0.61425
"host_height_vs_max_height_tl",0.882375,0.947916666666667,0.429,0.570142857142857
"tl_cm",0.882375,0.944666666666667,0.876,0.735090909090909
"dist_to_dorsal_cm",0.882375,0.963,0.876,0.735090909090909
"host_body_mass_index",0.882375,0.947916666666667,0.876,0.756166666666667
"gi_cm",0.882375,0.947916666666667,0.876,0.195
"host_height",0.882375,0.947916666666667,0.876,0.570142857142857
"ratio_dorsal_to_tl",0.904222222222222,0.947916666666667,0.6175,0.5044
"ratio_gape_to_tl",0.922,0.947916666666667,0.876,0.953
"gape_cm",0.922,0.947916666666667,0.876,0.407333333333333
"fl_cm",0.922,0.947916666666667,0.876,0.5044
"mass_g",0.922,0.702,0.876,0.735090909090909
