"variable","p_value","r2","f_statistic","method","p_adj_bh"
"month",0.203,0.0414335749338642,1.3831846841414,"Weighted UniFrac PERMANOVA",0.882375
"ratio_gi_to_tl",0.273,0.0394977725259699,1.23365999774439,"Weighted UniFrac PERMANOVA",0.882375
"host_height_vs_max_height_tl",0.429,0.0286507756212663,0.943867351587084,"Weighted UniFrac PERMANOVA",0.882375
"tl_cm",0.451,0.0269713614947642,0.887007364098062,"Weighted UniFrac PERMANOVA",0.882375
"dist_to_dorsal_cm",0.46,0.0322569003513236,0.899966437169035,"Weighted UniFrac PERMANOVA",0.882375
"host_body_mass_index",0.525,0.0270898972484175,0.807481614161736,"Weighted UniFrac PERMANOVA",0.882375
"gi_cm",0.532,0.0266377166105449,0.821001092762297,"Weighted UniFrac PERMANOVA",0.882375
"host_height",0.543,0.0264196446688268,0.814097506923499,"Weighted UniFrac PERMANOVA",0.882375
"ratio_dorsal_to_tl",0.626,0.0244610890392446,0.677009801084369,"Weighted UniFrac PERMANOVA",0.904222222222222
"ratio_gape_to_tl",0.809,0.0187131596689674,0.514890539948211,"Weighted UniFrac PERMANOVA",0.922
"gape_cm",0.851,0.016139984909931,0.442928451084826,"Weighted UniFrac PERMANOVA",0.922
"fl_cm",0.867,0.0137452908807339,0.418105711039145,"Weighted UniFrac PERMANOVA",0.922
"mass_g",0.922,0.0113824549414398,0.356918714368691,"Weighted UniFrac PERMANOVA",0.922
